Nombre: tanquecrack, Puntuaciones: 3.5, 5, 2.5, 0, Total: 11.0
Nombre: otromas, Puntuaciones: 3.5, 0, 0, 0, Total: 3.5
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 2.5, 0, 0, 0, Total: 2.5
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
