Nombre: kori, Puntuaciones: 1.5, 0, 0, Total: 1.5
Nombre: ultimahora1, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 2, Total: 2.0
Nombre: krisan, Puntuaciones: 2, 2, 0, Total: 4.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, Total: 0.0
