Nombre: shoot, Puntuaciones: 2, 0, 0, 0, Total: 2.0
Nombre: coletiyas, Puntuaciones: 2.5, 0, 0, 0, Total: 2.5
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
