Nombre: krisan, Puntuaciones: 1, 2, 0, 0, Total: 3.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
