Nombre: krisan, Puntuaciones: 5, 0, 0, 0, Total: 5.0
Nombre: dager, Puntuaciones: 5, 5, 0, 0, Total: 10.0
Nombre: bosko, Puntuaciones: 1.5, 2, 0, 0, Total: 3.5
Nombre: lorena, Puntuaciones: 5, 5, 5, 5, Total: 20.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
