Nombre: krisan, Puntuaciones: 2.5, 4, 3, 2.5, Total: 12.0
Nombre: dager, Puntuaciones: 3.5, 3.5, 2.5, 3, Total: 12.5
Nombre: bosko, Puntuaciones: 5, 5, 5, 5, Total: 20.0
Nombre: lorena, Puntuaciones: 1, 3, 4.5, 1, Total: 9.5
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
Nombre: krisan, Puntuaciones: 0, 0, 0, 0, Total: 0.0
